iter	Passed	Remaining
469	677	764
470	678	761
471	679	759
472	680	757
473	681	755
474	682	754
475	683	752
476	684	750
477	685	748
478	685	746
479	686	743
480	687	741
481	688	739
482	689	737
483	690	735
484	690	733
485	691	731
486	692	729
487	693	727
488	694	725
489	695	723
490	696	721
491	697	720
492	698	718
493	699	716
494	700	714
495	701	712
496	701	710
497	702	708
498	703	706
499	704	704
500	705	702
501	706	700
502	706	698
503	707	696
504	708	694
505	709	692
506	710	690
507	711	689
508	712	687
509	713	685
510	714	683
511	715	681
512	716	680
513	717	678
514	718	676
515	718	674
516	719	672
517	720	670
518	721	668
519	722	666
520	723	664
521	723	662
522	724	660
523	725	659
524	727	657
525	728	656
526	728	654
527	729	652
528	730	650
529	731	648
530	732	646
531	733	645
532	734	643
533	734	641
534	735	639
535	736	637
536	737	635
537	738	634
538	739	632
539	740	630
540	741	629
541	742	627
542	743	625
543	744	624
544	745	622
545	746	620
546	747	618
547	747	616
548	748	615
549	749	613
550	750	611
551	751	609
552	752	608
553	753	606
554	754	604
555	755	602
556	756	601
557	757	599
558	758	598
559	758	596
560	759	594
561	760	592
562	761	591
563	762	589
564	763	587
565	764	586
566	765	584
567	766	583
568	767	581
569	768	579
570	769	578
571	770	576
572	771	574
573	772	573
574	773	571
575	774	569
576	775	568
577	776	566
578	776	564
579	777	563
580	778	561
581	779	559
582	780	558
583	781	556
584	782	554
585	782	553
586	783	551
587	784	550
588	785	548
589	786	546
590	787	545
591	788	543
592	789	541
593	790	540
594	791	538
595	791	536
596	792	535
597	793	533
598	794	531
599	795	530
600	796	528
601	796	526
602	797	525
603	798	523
604	799	522
605	800	520
606	801	518
607	802	517
608	803	515
609	804	514
610	804	512
611	805	510
612	806	509
613	807	507
614	808	506
615	809	504
616	810	502
617	810	501
618	811	499
619	812	498
620	813	496
621	814	495
622	815	493
623	816	492
624	817	490
625	818	489
626	819	487
627	820	485
628	821	484
629	822	482
630	822	481
631	823	479
632	824	478
633	825	476
634	826	475
635	827	473
636	828	472
637	829	470
638	830	469
639	831	467
640	832	466
641	833	464
642	833	462
643	834	461
644	835	459
645	836	458
646	837	456
647	838	455
648	839	453
649	839	452
650	840	450
651	841	449
652	842	447
653	843	446
654	844	444
655	845	443
656	846	441
657	847	440
658	848	438
659	848	437
660	849	435
661	850	434
662	851	432
663	852	431
664	853	429
665	854	428
666	854	426
667	855	425
668	856	423
669	857	422
670	858	421
671	859	419
672	860	418
673	861	416
674	862	415
675	862	413
676	863	412
677	864	410
678	865	409
679	866	407
680	867	406
681	868	405
682	869	403
683	870	402
684	871	400
685	872	399
686	873	398
687	874	396
688	875	395
689	876	393
690	877	392
691	878	390
692	879	389
693	880	388
694	881	386
695	881	385
696	882	383
697	883	382
698	884	380
699	885	379
700	886	378
701	887	376
702	888	375
703	889	374
704	890	372
705	891	371
706	892	369
707	893	368
708	894	366
709	894	365
710	895	364
711	896	362
712	897	361
713	898	359
714	899	358
715	900	357
716	901	355
717	902	354
718	903	352
719	903	351
720	904	350
721	905	348
722	906	347
723	907	345
724	908	344
725	909	343
726	909	341
727	910	340
728	911	338
729	912	337
730	913	336
731	914	334
732	915	333
733	916	332
734	917	330
735	917	329
736	918	327
737	919	326
738	920	325
739	921	323
740	922	322
741	923	321
742	924	319
743	924	318
744	925	316
745	926	315
746	927	314
747	928	312
748	929	311
749	930	310
750	931	308
751	932	307
752	933	306
753	933	304
754	934	303
755	935	301
756	936	300
757	937	299
758	938	297
759	938	296
760	939	295
761	940	293
762	941	292
763	942	291
764	943	289
765	943	288
766	944	287
767	945	285
768	946	284
769	947	283
770	948	281
771	949	280
772	950	279
773	951	277
774	952	276
775	953	275
776	953	273
777	954	272
778	955	271
779	956	269
780	957	268
781	958	267
782	958	265
783	959	264
784	961	263
785	961	261
786	962	260
787	963	259
788	964	257
789	965	256
790	966	255
791	966	253
792	967	252
793	968	251
794	969	249
795	970	248
796	971	247
797	971	246
798	972	244
799	973	243
800	974	242
801	975	240
802	976	239
803	977	238
804	978	236
805	978	235
806	979	234
807	980	233
808	981	231
809	982	230
810	983	229
811	984	227
812	984	226
813	985	225
814	986	223
815	987	222
816	988	221
817	989	220
818	990	218
819	991	217
820	992	216
821	993	215
822	993	213
823	994	212
824	995	211
825	996	209
826	997	208
827	998	207
828	999	206
829	1000	204
830	1000	203
831	1001	202
832	1002	201
833	1003	199
834	1004	198
835	1005	197
836	1006	195
837	1007	194
838	1008	193
839	1008	192
840	1009	190
841	1010	189
842	1011	188
843	1012	187
844	1013	185
845	1014	184
846	1014	183
847	1015	182
848	1016	180
849	1017	179
850	1018	178
851	1019	177
852	1020	175
853	1021	174
854	1022	173
855	1023	172
856	1024	170
857	1024	169
858	1025	168
859	1026	167
860	1027	165
861	1028	164
862	1029	163
863	1030	162
864	1030	160
865	1031	159
866	1032	158
867	1033	157
868	1034	155
869	1035	154
870	1036	153
871	1037	152
872	1038	151
873	1039	149
874	1039	148
875	1040	147
876	1041	146
877	1042	144
878	1043	143
879	1044	142
880	1045	141
881	1045	139
882	1046	138
883	1047	137
884	1048	136
885	1049	135
886	1050	133
887	1051	132
888	1052	131
889	1053	130
890	1053	128
891	1054	127
892	1055	126
893	1056	125
894	1057	124
895	1058	122
896	1059	121
897	1059	120
898	1060	119
899	1061	117
900	1062	116
901	1063	115
902	1064	114
903	1065	113
904	1066	111
905	1066	110
906	1067	109
907	1068	108
908	1069	107
909	1070	105
910	1071	104
911	1072	103
912	1072	102
913	1073	101
914	1074	99
915	1075	98
916	1076	97
917	1077	96
918	1078	95
919	1079	93
920	1080	92
921	1081	91
922	1082	90
923	1083	89
924	1083	87
925	1084	86
926	1085	85
927	1086	84
928	1087	83
929	1088	81
930	1089	80
931	1090	79
932	1091	78
933	1092	77
934	1093	75
935	1094	74
936	1095	73
937	1095	72
938	1096	71
939	1097	70
940	1098	68
941	1099	67
942	1100	66
943	1101	65
944	1102	64
945	1103	62
946	1104	61
947	1105	60
948	1106	59
949	1106	58
950	1107	57
951	1109	55
952	1109	54
953	1110	53
954	1111	52
955	1112	51
956	1113	50
957	1114	48
958	1115	47
959	1115	46
960	1116	45
961	1117	44
962	1118	42
963	1119	41
964	1120	40
965	1120	39
966	1121	38
967	1122	37
968	1123	35
969	1124	34
970	1125	33
971	1126	32
972	1127	31
973	1128	30
974	1129	28
975	1130	27
976	1131	26
977	1131	25
978	1132	24
979	1133	23
980	1134	21
981	1135	20
982	1136	19
983	1136	18
984	1137	17
985	1139	16
986	1140	15
987	1140	13
988	1141	12
989	1142	11
990	1143	10
991	1144	9
992	1145	8
993	1145	6
994	1146	5
995	1147	4
996	1148	3
997	1149	2
998	1150	1
999	1150	0
